x,y
-3.3380,-5.5561
-3.3482,-5.6072
-3.3786,-5.6844
-3.4428,-5.7489
-3.4910,-5.8254
-3.5428,-5.9012
-3.6358,-5.9782
-3.7317,-6.0650
-3.8136,-6.1609
-3.8793,-6.2571
-3.9348,-6.3592
-3.9825,-6.4705
-4.0149,-6.6235
-4.0244,-6.7365
-4.0336,-6.8969
-4.0121,-7.0460
-3.9778,-7.1716
-3.9450,-7.2836
-3.8749,-7.4010
-3.7864,-7.5356
-3.6355,-7.6780
-3.4932,-7.7756
-3.3221,-7.8652
-3.1379,-7.9407
-2.9665,-7.9795
-2.7549,-8.0005
-2.5791,-7.9945
-2.4046,-7.9596
-2.1882,-7.8995
-2.0426,-7.8456
-1.8792,-7.7884
-1.7824,-7.7423
-1.6526,-7.6800
-1.5195,-7.5980
-1.3944,-7.5046
-1.2811,-7.4118
-1.0137,-7.2871
-0.8957,-7.2471
-0.7940,-7.2337
-0.6788,-7.2337
-0.5882,-7.2526
-0.4620,-7.3273
-0.1852,-7.4974
0.0470,-7.6145
0.2768,-7.7258
0.5346,-7.8238
0.7384,-7.8856
0.9279,-7.9146
1.2116,-7.9021
1.4913,-7.8404
1.7451,-7.7444
1.9490,-7.6304
2.1118,-7.4873
2.2693,-7.3070
2.4281,-7.0417
2.5195,-6.8197
2.5827,-6.5896
2.6068,-6.4049
2.5941,-6.2082
2.5604,-5.9445
2.4938,-5.7260
2.3813,-5.4999
2.2451,-5.3072
2.0897,-5.1391
1.9143,-4.9884
1.7415,-4.8744
1.5318,-4.7999
1.2368,-4.7310
0.9996,-4.7270
0.7148,-4.7421
0.4727,-4.7966
0.1989,-4.8554
-0.0001,-4.9022
-0.2375,-4.9342
-0.4275,-4.9277
-0.6596,-4.9113
-0.8506,-4.8706
-1.0038,-4.8040
-1.1779,-4.7840
-1.3529,-4.7903
-1.5361,-4.7992
-1.6306,-4.7845
-1.7724,-4.8165
-2.0098,-4.8706
-2.1812,-4.8717
-2.3061,-4.8780
-2.3993,-4.9007
-2.4474,-4.9179
-2.5189,-4.9425
-2.5686,-5.0161
-2.6060,-5.0635
-2.6608,-5.1279
-2.7183,-5.1871
-2.7800,-5.2419
-2.9012,-5.3088
-3.0242,-5.3867
-3.1126,-5.4679
-3.2721,-5.6247
-3.3843,-5.7708
-3.4733,-5.9176
-3.5573,-6.0585
-3.6145,-6.1886
-3.6608,-6.3013
-3.7088,-6.4527
-3.7304,-6.5851
-3.7573,-6.7341
-3.7414,-6.9222
-3.7152,-7.1155
-3.6917,-7.2312
-3.6701,-7.3416
-3.6234,-7.4566
-3.5325,-7.6079
-3.4359,-7.7257
-3.3392,-7.8087
-3.2099,-7.8933
-3.0586,-7.9614
-2.9433,-7.9897
-2.8331,-7.9999
-2.7149,-7.9972
-2.5611,-7.9846
-2.4451,-7.9482
-2.3529,-7.8952
-2.2694,-7.8231
-2.1676,-7.7488
-2.0758,-7.6816
-1.9787,-7.6342
-1.8721,-7.5998
-1.7430,-7.5691
-1.6416,-7.5449
-1.5312,-7.5180
-1.4425,-7.4938
-1.3544,-7.4758
-1.2771,-7.4670
-1.1616,-7.4591
-1.0194,-7.4724
-0.9129,-7.4918
-0.7873,-7.5209
-0.6863,-7.5493
-0.5712,-7.5794
-0.4575,-7.6136
-0.3092,-7.6465
-0.1841,-7.6658
-0.0070,-7.6803
0.1140,-7.6872
0.2577,-7.6773
0.3910,-7.6651
0.4966,-7.6472
0.5990,-7.6254
0.6875,-7.5982
0.7619,-7.5732
0.9110,-7.5430
1.0529,-7.5148
1.2039,-7.4724
1.3473,-7.4024
1.5181,-7.3034
1.6395,-7.2086
1.7299,-7.1182
1.8063,-7.0232
1.8924,-6.8992
1.9498,-6.7799
1.9891,-6.6610
2.0248,-6.5279
2.0344,-6.4145
2.0355,-6.2923
2.0239,-6.1810
2.0042,-6.0819
1.9770,-5.9639
1.9426,-5.8591
1.9058,-5.7719
1.8344,-5.6610
1.7536,-5.5593
1.6728,-5.4504
1.5585,-5.3497
1.4379,-5.2650
1.3129,-5.1944
1.1924,-5.1421
1.0599,-5.0966
0.9138,-5.0561
0.8156,-5.0419
0.6999,-5.0177
0.6130,-5.0081
0.4797,-5.0030
0.4111,-5.0052
0.3136,-5.0262
0.2177,-5.0397
0.1149,-5.0430
0.0197,-5.0406
-0.0500,-5.0359
-0.1651,-5.0246
-0.2909,-5.0054
-0.3990,-4.9969
-0.4957,-4.9859
-0.5899,-4.9872
-0.7007,-4.9861
-0.8322,-4.9874
-0.9593,-4.9845
-1.0177,-4.9831
-1.1235,-4.9624
-1.1470,-4.8836
-1.1229,-4.8206
-1.2279,-4.7545
-1.2900,-4.7387
-1.3422,-4.7363
-1.4506,-4.7592
-1.5716,-4.7981
-1.6874,-4.8459
-1.7790,-4.8837
-1.8877,-4.9253
-1.9635,-4.9527
-2.0575,-4.9953
-2.1114,-5.0154
-2.1943,-5.0430
-2.2860,-5.0695
-2.3830,-5.0912
-2.5105,-5.1193
-2.6469,-5.1453
-2.7982,-5.1849
-2.9389,-5.2453
-3.0838,-5.3270
-3.2320,-5.4481
-3.3483,-5.5756
-3.4752,-5.7514
-3.5556,-5.9076
-3.6069,-6.0385
-3.6568,-6.1720
-3.6866,-6.2941
-3.7127,-6.4290
-3.7214,-6.5463
-3.7170,-6.6528
-3.7164,-6.8403
-3.6907,-7.0486
-3.6204,-7.2082
-3.5322,-7.3555
-3.4348,-7.4876
-3.3447,-7.5889
-3.2470,-7.6809
-3.1526,-7.7489
-3.0711,-7.7925
-2.9691,-7.8296
-2.8620,-7.8621
-2.7212,-7.8820
-2.5952,-7.8687
-2.4712,-7.8450
-2.3605,-7.8138
-2.2509,-7.7666
-2.1238,-7.7049
-2.0616,-7.6541
-1.9824,-7.6002
-1.8952,-7.5482
-1.7811,-7.4936
-1.6413,-7.4283
-1.5710,-7.3791
-1.4590,-7.3427
-1.3633,-7.3202
-1.2540,-7.3058
-1.1573,-7.3002
-1.0634,-7.3038
-0.9982,-7.3110
-0.9038,-7.3289
-0.7966,-7.3525
-0.7343,-7.3678
-0.6580,-7.3877
-0.5947,-7.4028
-0.5190,-7.4252
